cid,comment,reply_cid,reply_id,reply_text,"cid,comment","cid,comment,""cid,comment"""
7002217432157045530,asli pasar shoope ngeri banget lawannya yang produksi😂,7.002255218977555e+18,7.002217432157046e+18,"Yoi aku ambil barang dagangan 100% dri shopee. kalo ambil dipasar selain jauh, mumet milihnya kadang model jadul",,
7002217432157045530,asli pasar shoope ngeri banget lawannya yang produksi😂,7.002259122704483e+18,7.002217432157046e+18,baru mau mulai usaha jd mikir lg tkut kya gni🥺 kalah am yg jualannya udh byk😌,,
7002217432157045530,asli pasar shoope ngeri banget lawannya yang produksi😂,7.00225950488468e+18,7.002217432157046e+18,"dicoba aja mba , pelajari yang dijelasin sama kak Rio Gandhi, dalemin ilmu pasti bisa",,
7002217432157045530,asli pasar shoope ngeri banget lawannya yang produksi😂,7.002260081887069e+18,7.002217432157046e+18,"iya mksh ya🥺 nnti dicoba klo udah siap mental😁 skrg msh dipikirin mau jual apa, bkin sndiri apa dropship😁",,
7002217432157045530,asli pasar shoope ngeri banget lawannya yang produksi😂,7.002274530153088e+18,7.002217432157046e+18,"tapi untuk pemula, jual di sosmed lain dlu, jgn langsung ke marketplace, soalnya pada perang harga, kecuali pinter"" milih judul😌 kayak di video",,
7002972919211131674,kadang orng orngjuga milih beli ke toko yg penjualannya udah banyak,7.006749317826971e+18,7.002972919211132e+18,"Org org bakalan memilih yg trusted, pentingnya branding",,
7002972919211131674,kadang orng orngjuga milih beli ke toko yg penjualannya udah banyak,7.006866057273279e+18,7.002972919211132e+18,banyak yg beli berrti dah trusted dan branding kan.....klo gk trested dan brending ya sedikit dong yang beli,,
7002972919211131674,kadang orng orngjuga milih beli ke toko yg penjualannya udah banyak,7.006923533477627e+18,7.002972919211132e+18,Otomatis sih,,
7002972919211131674,kadang orng orngjuga milih beli ke toko yg penjualannya udah banyak,7.003768101037229e+18,7.002972919211132e+18,"betul, makanya berat banget bagi para penjual baru yang belum ada pembeli.",,
7002972919211131674,kadang orng orngjuga milih beli ke toko yg penjualannya udah banyak,7.342060463793407e+18,7.002972919211132e+18,biasanya konsumen akan searching product yg dicari n lgsung liat jumlah pembeli terbanyak n cek ke testimoni,,
7002199969006273307,jd judulnya gmn?,7.002236782696007e+18,7.002199969006274e+18,ganti aja jd tv portable bang,,
7002199969006273307,jd judulnya gmn?,7.002229639926449e+18,7.002199969006274e+18,pengaruh belanja tas untuk gaya dalam aplikasi shopee,,
7002199969006273307,jd judulnya gmn?,7.002310493201335e+18,7.002199969006274e+18,lu bisa ga sih gabikin judul skripsi di sini WKWKWKWKWKWK,,
7002199969006273307,jd judulnya gmn?,7.002338423122642e+18,7.002199969006274e+18,"hehehe dia kan nanya judul, kirain....",,
7002199969006273307,jd judulnya gmn?,7.288258511674312e+18,7.002199969006274e+18,njrrrr beda tipis a skripsi gw,,
7002199969006273307,jd judulnya gmn?,7.002223815116293e+18,7.002199969006274e+18,"riset dulu cuy, kalau dihajar dstu, kalah saing jelas .",,
7002444284725134107,"kalau dia mikirin reseller/dropshipernya , ya dia g main di marketplace. krn klo dia main di marketplace, pasti dia yg akan selalu menang",7.005087709622683e+18,7.002444284725134e+18,"seharusnya klo bisnis modelnya dia gunain reseller, dia ga perlu jualan juga sih..",,
jd produsen sm reseller sama2 untung!,,,,,,
7002444284725134107,"kalau dia mikirin reseller/dropshipernya , ya dia g main di marketplace. krn klo dia main di marketplace, pasti dia yg akan selalu menang",7.005110726419318e+18,7.002444284725134e+18,betullll. jd semua aman. persaingan harga biar di level reseller aja.,,
7002444284725134107,"kalau dia mikirin reseller/dropshipernya , ya dia g main di marketplace. krn klo dia main di marketplace, pasti dia yg akan selalu menang",7.005112490614932e+18,7.002444284725134e+18,seharusnya reseller juga ada harga pasti biar ga bunuh2an..,,
jd emang saingan sehat!,,,,,,
"yg bkn promo cm pusat, reseller saingan teknik marketing dll..",,,,,,
7002444284725134107,"kalau dia mikirin reseller/dropshipernya , ya dia g main di marketplace. krn klo dia main di marketplace, pasti dia yg akan selalu menang",7.006782684077065e+18,7.002444284725134e+18,klo dy ga jual di marketplace trs reseller mana tau klo dy itu produsen. Seharusnya reseller jual ke marketplace lain,,
7002444284725134107,"kalau dia mikirin reseller/dropshipernya , ya dia g main di marketplace. krn klo dia main di marketplace, pasti dia yg akan selalu menang",7.006805883296695e+18,7.002444284725134e+18,"produsen/distributir bs gunakan media sosial lain.. misal website, IG, FB, tiktok,",,
7002444284725134107,"kalau dia mikirin reseller/dropshipernya , ya dia g main di marketplace. krn klo dia main di marketplace, pasti dia yg akan selalu menang",7.022901012122142e+18,7.002444284725134e+18,Iyah betul aku seller kecil pernah dpt suplier Tpi dia juga main marketplace jdi dia doang yg menang😏 dn skrng klo mau jualan ambil dishopee udh ga -,,
7025242963933152027,Setelah gue ulang ulang gue tetep ga paham maksud si masnya😳,7.025249346950809e+18,7.025242963933152e+18,"intinya kalo reseller usahain judulnya jgn sama dengan own nya karena beresiko lebih ke up di own nya dibanding resellernya, gituu sii",,
7025242963933152027,Setelah gue ulang ulang gue tetep ga paham maksud si masnya😳,7.030382942837048e+18,7.025242963933152e+18,"oalahh, paham paham😂",,
7002255855437955867,mksdnya gmna bang ga paham,7.002277078229911e+18,7.002255855437956e+18,jgn pake judul yg sama. kalo sama otomatis muncul produk yg lakunya dah banyak.,,
7002255855437955867,mksdnya gmna bang ga paham,7.002287251237815e+18,7.002255855437956e+18,sama otakku jg gk smpai apa mksdx😂,,
7002441988889117467,"Sekalipun nama tas udah di ganti tetap aja bakal muncul tas yg sama, soalnya fotonya sama 😂",7.189609796911089e+18,7.002441988889118e+18,kalo gitu mending ambil satu sampel terus foto sendiri ga sih dengan gaya dan editan sendiri,,
7002441988889117467,"Sekalipun nama tas udah di ganti tetap aja bakal muncul tas yg sama, soalnya fotonya sama 😂",7.350694325875033e+18,7.002441988889118e+18,"nah bener, supaya Shopee nya ga nge detect produk dengan foto yang sama. dan edit foto supaya proper itu ga susah kok, pake canva jg bisa🙏",,
7002539400735982363,lalu pakai kata kunci apa yg benar ?? untuk kasus ini,7.002548824154326e+18,7.002539400735983e+18,slingbag ajaa gausah ada novitanya,,
7002509838035567387,kak kalo mau jual celana pendek pria setting produknya di marketplace gimna ya kak?🙏🙏🙏,7.003746527974016e+18,7.002509838035568e+18,bnyak2 bljr digital marketing biar ngk bingung,,
7019772206239187739,@chocowchips mudeng rak,7.019842908979742e+18,7.019772206239188e+18,mudeng,,
7018026925931266843,lol profiter🗿 #growtopia,7.018030839015638e+18,7018026925931266843,":v,Bedanya Di GT kita beli dulu,kek reseller",,
7018024073481782043,"mau dropship tapi bingung, soalnya dalam akidah jual beli tidak boleh menjual barang yg belum jadi milik kita.",7.018036301728024e+18,7018024073481782043,dropshiping bukan menjual hak yang belum jadi mlik kita tapi hanya menjadi lebih cepat,,
7018024073481782043,"mau dropship tapi bingung, soalnya dalam akidah jual beli tidak boleh menjual barang yg belum jadi milik kita.",7.034888147876496e+18,7018024073481782043,"boleh, asal dropshipper tau detail kualitas dan stok barang yg mau dijual. dan uang untuk membeli ke supplier bukan uang dr customer dropshipper.",,
7018024073481782043,"mau dropship tapi bingung, soalnya dalam akidah jual beli tidak boleh menjual barang yg belum jadi milik kita.",7.034888828460811e+18,7018024073481782043,dan yg lebih bagus lagi klo anda dropshipper resmi dr supllier. dan infokan klo anda adalah dropshipper ke pembeli.,,
7018024073481782043,"mau dropship tapi bingung, soalnya dalam akidah jual beli tidak boleh menjual barang yg belum jadi milik kita.",7.018048734583883e+18,7018024073481782043,coba diniatkan kalo dropshiping = makelar,,
7018024073481782043,"mau dropship tapi bingung, soalnya dalam akidah jual beli tidak boleh menjual barang yg belum jadi milik kita.",7.076769687396451e+18,7018024073481782043,@mindfreezer46 eh,,
7018024073481782043,"mau dropship tapi bingung, soalnya dalam akidah jual beli tidak boleh menjual barang yg belum jadi milik kita.",7.018049126889702e+18,7018024073481782043,reseller aja kalo gitu. nabi muhammad jg reseller kok,,
7018010267359675163,"bedanya dropship sama nipu orang apa?wkkwk,,aku stiap lakuin dropship kaya ga tega liat pembeli😂",7.018025023730894e+18,7018010267359675163,anjir bukan nipu tapi dagang😌😌😌,,
7018010267359675163,"bedanya dropship sama nipu orang apa?wkkwk,,aku stiap lakuin dropship kaya ga tega liat pembeli😂",7.018018293919598e+18,7018010267359675163,"tergantung supplier yg lu pilih sih ini,",,
7018010267359675163,"bedanya dropship sama nipu orang apa?wkkwk,,aku stiap lakuin dropship kaya ga tega liat pembeli😂",7.018016124335949e+18,7018010267359675163,perdagangan seperti itu halal dalam islam,,
7018010267359675163,"bedanya dropship sama nipu orang apa?wkkwk,,aku stiap lakuin dropship kaya ga tega liat pembeli😂",7.018030977914783e+18,7018010267359675163,"ga, ga boleh...😂 dilarang menjual barang yang tidak ada pada kitaaa..",,
7018010267359675163,"bedanya dropship sama nipu orang apa?wkkwk,,aku stiap lakuin dropship kaya ga tega liat pembeli😂",7.233695229785687e+18,7018010267359675163,"kalo itu sih tergantung suplier kamu,jujur apa nggak nya😂",,
7018010267359675163,"bedanya dropship sama nipu orang apa?wkkwk,,aku stiap lakuin dropship kaya ga tega liat pembeli😂",7.019554794088711e+18,7018010267359675163,Bro?,,
7018009629364339482,bedanya reseller dengan dropship apaan,7.018564070391416e+18,7018009629364339482,Supplier beli & nyetok barang nya. Dropship enggak 😁,,
7018009629364339482,bedanya reseller dengan dropship apaan,7.018785862582928e+18,7018009629364339482,thanks 😁,,
7018009629364339482,bedanya reseller dengan dropship apaan,7.018014507256104e+18,7018009629364339482,"reseller harus beli barang dulu baru di jual, dropship tidak membeli barang cukup jual modal gambar kalau ada pembeli kita ambil di supplier dan kirim",,
7018009629364339482,bedanya reseller dengan dropship apaan,7.018011751887275e+18,7018009629364339482,"kalo reseller itu kita bayar dulu ke agen , kalo dropship itu kita jualin barang agen tp kita untung tanpa ngurus pengiriman ke customer",,
7018009629364339482,bedanya reseller dengan dropship apaan,7.018011799535224e+18,7018009629364339482,jadi kita tinggal terima untung aja,,
7018009629364339482,bedanya reseller dengan dropship apaan,7.018021061413701e+18,7018009629364339482,dropship itu CALO,,
7018008887085663002,kek di Growtopia anjem😂,7.018040080145122e+18,7018008887085663002,lol profiter,,
7018008887085663002,kek di Growtopia anjem😂,7.018024604925052e+18,7018008887085663002,trading,,
7018008887085663002,kek di Growtopia anjem😂,7.018032938827286e+18,7018008887085663002,hooh wkkw😂,,
7018008887085663002,kek di Growtopia anjem😂,7.018012805014046e+18,7018008887085663002,prifiter:v,,
7018008887085663002,kek di Growtopia anjem😂,7.018032869348607e+18,7018008887085663002,hooh wkwkw😂,,
