cid,comment,reply_cid,reply_id,reply_text,"cid,comment","cid,comment,reply_cid,reply_id,reply_text,""cid,comment"",""cid,comment,""""cid,comment"""""""
6956913911086121729,g prnh pke softlens,,,,,
ada si niatan mau pake tpi takut ga bisa di lepas:),6957077509171364609,6.956913911086122e+18,"ko ak kebulak, masangin nya gmpng copotin nya ssh ☺️",,,
6956913911086121729,g prnh pke softlens,,,,,
ada si niatan mau pake tpi takut ga bisa di lepas:),6957145786002572034,6.956913911086122e+18,wkwkwkwk 😭,,,
7084801002188145435,lah kok baru fyp 2022😓,7.092663092958119e+18,7084801002188145435,sama pliss😭,,
7084801002188145435,lah kok baru fyp 2022😓,7.095522809598297e+18,7084801002188145435,sm plssss😭🙏🏻,,
7084801002188145435,lah kok baru fyp 2022😓,7.09336959948746e+18,7084801002188145435,samaaan😂,,
7084801002188145435,lah kok baru fyp 2022😓,7.089075785780692e+18,7084801002188145435,sama plissss😥😥,,
7084801002188145435,lah kok baru fyp 2022😓,7.08705713375781e+18,7084801002188145435,sama,,
7084801002188145435,lah kok baru fyp 2022😓,7.319753960324466e+18,7084801002188145435,2024,,
7318927709388030725,hai aku dari 2024,7.318977448501986e+18,7318927709388030725,samaa😁,,
7318927709388030725,hai aku dari 2024,7.319328938676094e+18,7318927709388030725,sama 🌸🌸,,
7318927709388030725,hai aku dari 2024,7.319032780192744e+18,7318927709388030725,smaa💗💐,,
7318927709388030725,hai aku dari 2024,7.323037203092833e+18,7318927709388030725,samaa🤣,,
7318927709388030725,hai aku dari 2024,7.321668344388978e+18,7318927709388030725,samaa wkwk,,
7318927709388030725,hai aku dari 2024,7.320483277894551e+18,7318927709388030725,sama 😘✌️,,
7315623191832003334,hai aku dari 2023,7.319061850989479e+18,7315623191832003334,Allooo masa laluu🗿,,
7315623191832003334,hai aku dari 2023,7.315641545046148e+18,7315623191832003334,sma😭🗿,,
7315623191832003334,hai aku dari 2023,7.315686706023368e+18,7315623191832003334,sama,,
7315623191832003334,hai aku dari 2023,7.316562008278959e+18,7315623191832003334,smk,,
7315623191832003334,hai aku dari 2023,7.317215816445363e+18,7315623191832003334,smp,,
7315623191832003334,hai aku dari 2023,7.320204672722093e+18,7315623191832003334,hai aku dari 2024,,
6956953179150549762,knp ngomongnya harus kaya gtu sih,6.957131481731499e+18,6956953179150549762,tinggal skip kk,,
6956953179150549762,knp ngomongnya harus kaya gtu sih,6.958315557552752e+18,6956953179150549762,epaa kamu julid bgt😂,,
6956953179150549762,knp ngomongnya harus kaya gtu sih,6.958354283629266e+18,6956953179150549762,😳😌,,
6956953179150549762,knp ngomongnya harus kaya gtu sih,6.958354362703906e+18,6956953179150549762,biasalah,,
6956953179150549762,knp ngomongnya harus kaya gtu sih,6.959462654927373e+18,6956953179150549762,ahahha,,
6956953179150549762,knp ngomongnya harus kaya gtu sih,6.957063122913854e+18,6956953179150549762,ciri khas,,
6956905348448649986,kak kalo softlens nya dicuci pake mesin cuci bisa gak?,6.956935552864749e+18,6956905348448649986,di loandry bisa,,
